,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Indische Buurt,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,3,28,t,1,305,25,1,4.89,4.94,5.0,4.97,4.98,4.69,4.82,t,72.92054794520548,72.92054794520548,14.580083499890057,2.0,2.0,1.86,9,14,14,1.8794520547945206,3.8356164383561646,1.5 shared baths,36.46027397260274,1.0,0.0,19.994478800194884
1,"Amsterdam, Netherlands",within an hour,100.0,98.0,f,Grachtengordel,5,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in townhouse,Private room,1.0,1,365,t,0,339,0,0,4.44,4.69,4.79,4.63,4.62,4.87,4.49,t,105.46575342465754,105.46575342465754,9.164375292373894,1.0,2.0,2.22,0,0,0,0.0,0.0,1 private bath,52.73287671232877,2.0,0.0,8.689432346321526
2,"Amsterdam, Netherlands",within an hour,100.0,100.0,f,Westelijke Eilanden,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in houseboat,Private room,1.0,2,356,t,0,231,8,0,4.94,4.92,4.95,4.95,4.92,4.89,4.79,t,137.013698630137,137.013698630137,4.582854905487518,1.0,2.0,1.78,0,14,121,46.41095890410959,33.15068493150685,1.5 baths,68.5068493150685,2.0,0.0,3.3448151179822916
3,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Amsterdam Centrum,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,2,1825,t,4,428,75,5,4.88,4.94,4.89,4.96,4.94,4.96,4.83,f,75.04383561643836,75.04383561643836,0.3285776462376992,1.0,2.0,2.92,6,8,117,24.041095890410958,32.054794520547944,1 shared bath,37.52191780821918,2.0,0.0,0.43784761738074623
4,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Amsterdam Centrum,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,2,730,t,0,582,86,7,4.79,4.88,4.84,4.92,4.92,4.87,4.77,f,55.07123287671233,55.07123287671233,0.7847235553090094,1.0,1.0,4.16,4,5,160,24.18082191780822,43.83561643835616,1 shared bath,55.07123287671233,1.0,0.0,1.4249246191124243
5,"Amsterdam, Netherlands",within an hour,100.0,100.0,f,Oostelijke Eilanden en Kadijken,1,"['email', 'phone']",t,"Amsterdam, Noord-Holland, Netherlands",Entire rental unit,Entire home/apt,2.0,3,730,t,0,44,3,2,4.72,4.68,4.45,4.95,4.9,4.68,4.5,f,240.0,240.0,0.0,2.0,4.0,0.3,0,0,0,0.0,0.0,1.5 baths,60.0,2.0,0.0,0.0
6,"Amsterdam, Netherlands",within a few hours,100.0,92.0,t,Grachtengordel,2,"['email', 'phone', 'work_email']",t,"Amsterdam, North Holland, Netherlands",Entire guest suite,Entire home/apt,2.0,3,1125,t,1,433,58,1,4.92,4.92,4.91,4.95,4.97,4.98,4.78,f,252.02739726027397,252.02739726027397,11.894652740266562,2.0,3.0,3.0,7,16,165,113.63013698630137,45.20547945205479,1 bath,84.00913242009132,1.5,0.0,4.719587183603973
7,"Amsterdam, Netherlands",within a few hours,100.0,98.0,t,Grachtengordel,2,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,2,365,t,3,346,37,4,4.87,4.9,4.89,4.86,4.84,4.94,4.83,f,126.58904109589041,126.58904109589041,9.503954666230099,1.0,2.0,2.43,6,18,236,82.45205479452055,64.65753424657534,1 private bath,63.294520547945204,2.0,0.0,7.507723088786898
8,"Amsterdam, Netherlands",response not available,94.96734148204736,50.0,f,Grachtengordel,4,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire loft,Entire home/apt,1.0,3,30,t,0,63,3,0,4.95,4.89,4.92,4.94,4.98,4.92,4.79,f,169.17260273972602,169.17260273972602,18.431051053382994,1.0,2.0,0.44,0,0,0,0.0,0.0,1.5 baths,84.58630136986301,2.0,0.0,10.894820292940327
9,"Amsterdam, Netherlands",within a day,50.0,0.0,f,Museumkwartier,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,2.0,4,21,t,0,95,0,0,4.86,4.91,4.86,4.95,4.98,4.95,4.8,f,149.84383561643835,149.84383561643835,5.824375321439355,2.0,4.0,0.67,0,0,9,4.013698630136986,2.4657534246575343,1.5 baths,37.46095890410959,2.0,0.0,3.8869635827717706
